ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
303;Sing;Ed Sheeran;pop;2015;120;67;82;94;235;5;71
304;Jealous - Remix;Nick Jonas;pop;2015;93;71;68;45;222;8;70
305;Really Don't Care;Demi Lovato;pop;2015;121;73;71;85;202;9;70
306;Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis;pop;2015;110;61;83;71;293;7;70
307;Only Love Can Hurt Like This;Paloma Faith;no pop;2015;91;89;57;31;233;8;69
308;Heartbeat Song;Kelly Clarkson;pop;2015;149;80;49;48;199;5;69
309;Up;Olly Murs;pop;2015;115;85;69;64;224;3;69
310;Trumpets;Jason Derulo;pop;2015;82;70;63;64;217;24;69
311;Runnin' (Lose It All);Naughty Boy;no pop;2015;139;85;32;8;213;8;69
312;Same Old Love;Selena Gomez;pop;2015;98;59;67;44;229;3;69
313;I Want You To Know;Zedd;no pop;2015;130;85;58;37;240;6;68
314;Lips Are Movin;Meghan Trainor;pop;2015;139;83;78;95;183;5;68
315;I'll Show You;Justin Bieber;pop;2015;192;61;36;8;200;10;68
316;Here;Alessia Cara;no pop;2015;120;82;38;33;199;10;68
317;I Lived;OneRepublic;pop;2015;120;85;59;34;235;4;67
318;Fireball (feat. John Ryan);Pitbull;pop;2015;123;94;69;79;235;6;67
319;Easy Love;Sigala;pop;2015;124;94;68;65;230;6;67
320;The Feeling;Justin Bieber;pop;2015;127;81;53;21;245;6;67
321;I Really Like You;Carly Rae Jepsen;pop;2015;122;81;62;60;205;4;66
322;BO$$;Fifth Harmony;pop;2015;103;87;81;74;171;11;66
323;Sugar;Maroon 5;pop;2015;120;79;75;88;235;3;66
324;Focus;Ariana Grande;pop;2015;100;88;67;79;211;24;66
325;All About That Bass;Meghan Trainor;pop;2015;134;88;81;96;189;5;65
326;On My Mind;Ellie Goulding;pop;2015;155;71;70;74;213;5;65
327;Love Me Like You;Little Mix;pop;2015;106;67;79;85;198;4;65
328;Broken Arrows;Avicii;no pop;2015;116;67;63;29;233;5;65
329;Booty;Jennifer Lopez;pop;2015;129;95;71;40;210;5;64
330;What Do You Mean? - Acoustic;Justin Bieber;pop;2015;125;36;77;76;204;4;64
331;Mark My Words;Justin Bieber;pop;2015;114;26;38;52;134;3;63
332;Lay It All on Me;Rudimental;pop;2015;123;75;67;48;242;4;62
333;American Oxygen;Rihanna;pop;2015;78;75;39;48;320;9;61
334;Bang Bang;Jessie J;pop;2015;150;75;71;73;199;9;61
335;Reality - Radio Edit;Lost Frequencies;no pop;2015;122;70;71;60;159;3;61
336;Alive;Sia;no pop;2015;100;76;51;44;264;5;61
337;Sugar (feat. Francesco Yates);Robin Schulz;pop;2015;123;82;64;64;219;6;60
338;Been You;Justin Bieber;pop;2015;113;78;74;86;199;7;60
339;Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;no pop;2015;123;89;76;78;189;3;58
340;See You Again (feat. Charlie Puth);Wiz Khalifa;no pop;2015;80;48;69;28;230;8;56
341;Heroes (we could be);Alesso;no pop;2015;126;75;52;35;210;6;56
342;"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;pop;2015;156;60;47;4;292;5;55
343;Perfect;One Direction;no pop;2015;100;82;65;40;230;8;55
344;Ghosttown;Madonna;pop;2015;79;55;54;9;250;4;54
345;Bang My Head (feat. Sia & Fetty Wap);David Guetta;pop;2015;108;87;60;59;193;8;54
346;Bloodstream;Ed Sheeran;pop;2015;89;59;48;27;309;5;52
347;Living For Love;Madonna;pop;2015;123;79;67;39;219;9;52
348;Baby Don't Lie;Gwen Stefani;pop;2015;100;55;69;26;203;3;52
349;Don't Be so Hard on Yourself;Jess Glynne;pop;2015;120;82;57;66;211;3;52
350;Steal My Girl;One Direction;no pop;2015;77;76;47;52;227;4;51
351;"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")";Pitbull;pop;2015;127;85;68;93;193;6;50
352;We Are Here;Alicia Keys;no pop;2015;93;67;64;8;285;4;49
353;St Jude;Florence + The Machine;no pop;2015;117;43;26;9;225;3;47
354;Yesterday (feat. Bebe Rexha);David Guetta;pop;2015;128;78;57;28;243;3;46
355;Time of Our Lives;Pitbull;pop;2015;124;80;72;72;229;6;45
356;Sparks;Hilary Duff;pop;2015;122;88;85;79;186;6;44
357;Mr. Put It Down;Ricky Martin;pop;2015;128;78;80;83;196;18;42
358;Legendary Lovers;Katy Perry;pop;2015;126;84;62;39;224;8;41
359;Spark The Fire;Gwen Stefani;pop;2015;120;80;88;54;202;6;39
360;Run Run Run;Kelly Clarkson;pop;2015;112;37;28;8;273;4;36
361;Let Me Be Your Lover;Enrique Iglesias;pop;2015;112;90;72;88;238;13;34
362;Dangerous;Jennifer Hudson;pop;2015;109;53;90;65;255;5;18
363;L.A.LOVE (la la);Fergie;pop;2015;202;39;48;27;193;9;0
364;The Hills;The Weeknd;no pop;2016;113;56;58;14;242;5;84
365;Love Yourself;Justin Bieber;pop;2016;100;38;61;52;234;44;83
366;Cake By The Ocean;DNCE;pop;2016;119;75;77;90;219;5;81
367;Don't Let Me Down;The Chainsmokers;pop;2016;160;87;53;42;208;17;81
368;In the Name of Love;Martin Garrix;no pop;2016;134;52;50;17;196;4;81
369;Into You;Ariana Grande;pop;2016;108;73;62;37;244;11;80
370;This Is What You Came For;Calvin Harris;pop;2016;124;93;63;47;222;3;80
371;Million Reasons;Lady Gaga;pop;2016;130;42;67;15;205;4;80
372;Needed Me;Rihanna;pop;2016;111;31;67;30;192;24;80
373;7 Years;Lukas Graham;pop;2016;120;47;77;34;237;5;80
374;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;pop;2016;113;83;67;70;236;7;79
375;Work from Home (feat. Ty Dolla $ign);Fifth Harmony;pop;2016;105;59;80;59;214;4;79
376;Scars To Your Beautiful;Alessia Cara;no pop;2016;97;74;57;45;230;13;79
377;Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;pop;2016;108;53;63;42;225;4;79
378;Work;Rihanna;pop;2016;92;53;73;56;219;9;78
379;Stitches;Shawn Mendes;pop;2016;150;75;75;76;207;7;78
380;Me, Myself & I;G-Eazy;no pop;2016;112;67;76;38;251;10;78
381;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;pop;2016;102;71;66;69;198;11;78
382;Dangerous Woman;Ariana Grande;pop;2016;134;60;66;29;236;4;78
383;Starving;Hailee Steinfeld;pop;2016;100;62;73;51;182;6;78
384;Shout Out to My Ex;Little Mix;pop;2016;126;75;77;80;246;9;77
385;Electric Love;BORNS;pop;2016;120;80;61;52;218;5;76
386;Confident;Demi Lovato;pop;2016;130;75;59;34;206;7;75
387;Too Good;Drake;no pop;2016;118;65;79;39;263;10;74
388;Roses;The Chainsmokers;pop;2016;100;80;71;34;227;6;74
389;Cold Water (feat. Justin Bieber & MO);Major Lazer;pop;2016;93;80;61;50;185;4;73
390;Me Too;Meghan Trainor;pop;2016;124;69;93;84;181;10;73
391;Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer;pop;2016;108;88;75;75;166;7;73
392;Ain't Your Mama;Jennifer Lopez;pop;2016;120;68;76;82;218;23;72
393;Close;Nick Jonas;pop;2016;124;62;65;40;234;8;72
394;Toothbrush;DNCE;pop;2016;105;79;55;82;232;13;72
395;All We Know;The Chainsmokers;pop;2016;90;59;66;30;194;3;72
396;Final Song;MO;pop;2016;105;67;70;25;236;3;72
397;Company;Justin Bieber;pop;2016;95;80;59;43;208;6;72
398;Hands To Myself;Selena Gomez;pop;2016;111;50;81;47;201;12;71
399;All I Ask;Adele;no pop;2016;142;28;59;34;272;3;71
400;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;pop;2016;163;70;63;50;215;15;71
401;NO;Meghan Trainor;pop;2016;92;80;56;65;214;22;70
402;Kill Em With Kindness;Selena Gomez;pop;2016;120;88;76;40;218;4;70
403;Cool Girl;Tove Lo;pop;2016;102;69;67;20;199;11;69
404;Runnin' (Lose It All);Naughty Boy;no pop;2016;139;85;32;8;213;8;69
405;Here;Alessia Cara;no pop;2016;120;82;38;33;199;10;68
406;Perfect Illusion;Lady Gaga;pop;2016;125;86;61;66;182;4;67
407;PILLOWTALK;ZAYN;pop;2016;125;70;59;43;204;5;66
408;Out Of The Woods;Taylor Swift;pop;2016;92;84;55;34;236;4;66
409;Rise;Katy Perry;pop;2016;101;64;55;44;203;5;66
410;Wherever I Go;OneRepublic;pop;2016;100;69;55;35;170;4;66
411;Body Say;Demi Lovato;pop;2016;87;74;63;26;194;4;65
412;Don't Be A Fool;Shawn Mendes;pop;2016;175;34;47;27;216;4;65
413;LIKE I WOULD;ZAYN;pop;2016;113;83;56;23;192;11;65
414;Cheap Thrills;Sia;no pop;2016;90;80;59;73;225;22;64
415;I Got You;Bebe Rexha;pop;2016;98;89;61;32;192;5;64
416;Run Away With Me;Carly Rae Jepsen;pop;2016;119;72;56;25;251;5;63
417;Cruel (feat. ZAYN);Snakehips;pop;2016;110;88;60;32;228;12;63
418;Send My Love (To Your New Lover);Adele;no pop;2016;164;52;69;56;223;10;61
419;WTF (Where They From);Missy Elliott;pop;2016;120;82;93;56;193;20;58
420;Desire;Years & Years;pop;2016;126;78;71;64;203;6;58
421;When We Were Young;Adele;no pop;2016;144;59;38;27;291;5;58
422;I Know What You Did Last Summer;Shawn Mendes;pop;2016;114;77;68;72;224;10;57
423;Wish That You Were Here - From Miss Peregrine's Home for Peculiar Children Original Motion Picture;Florence + The Machine;no pop;2016;94;57;37;12;403;3;57
424;Hurts;Emeli Sande;pop;2016;106;64;58;18;238;3;57
425;Change;Christina Aguilera;pop;2016;82;54;62;20;187;8;54
426;Make Me... (feat. G-Eazy);Britney Spears;pop;2016;123;70;70;58;231;10;53
427;Keeping Your Head Up;Birdy;no pop;2016;122;78;60;53;208;5;52
428;True Colors;Zedd;no pop;2016;126;79;57;49;225;4;51
429;Make Me Like You;Gwen Stefani;pop;2016;118;71;74;80;217;5;50
430;Champagne Problems;Nick Jonas;pop;2016;108;78;73;64;193;13;50
431;Blown;DNCE;pop;2016;130;95;63;73;197;4;48
432;Start;John Legend;no pop;2016;110;4;52;26;310;4;47
433;Pep Rally;Missy Elliott;pop;2016;90;75;83;32;263;12;47
434;Higher;Carly Rae Jepsen;pop;2016;114;87;65;44;234;6;46
435;Invitation;Britney Spears;pop;2016;112;65;37;16;200;11;44
436;One Call Away (feat. Tyga) - Remix;Charlie Puth;pop;2016;91;69;75;52;192;4;41
437;Beautiful Birds (feat. Birdy);Passenger;no pop;2016;86;17;39;14;214;3;36
438;Little Lies;Hilary Duff;pop;2016;124;76;57;40;204;6;36
439;Do You Wanna Come Over?;Britney Spears;pop;2016;121;70;75;45;203;7;34
440;BURNITUP!;Janet Jackson;pop;2016;123;71;83;83;250;18;31
441;Picky - Remix;Joey Montana;no pop;2016;186;81;70;69;225;7;29
442;Behind Your Back;Nelly Furtado;no pop;2016;98;47;80;69;228;4;18
443;Million Years Ago;Adele;no pop;2016;115;70;50;50;227;10;60
444;Shape of You;Ed Sheeran;pop;2017;96;65;83;93;234;8;87
445;Closer;The Chainsmokers;pop;2017;95;52;75;66;245;3;86
446;Starboy;The Weeknd;no pop;2017;186;59;68;49;230;28;85
447;Treat You Better;Shawn Mendes;pop;2017;83;82;44;75;188;34;84
448;That's What I Like;Bruno Mars;pop;2017;134;56;85;86;207;4;83
449;Let Me Love You;DJ Snake;no pop;2017;100;72;65;16;206;3;82
450;I Feel It Coming;The Weeknd;no pop;2017;93;82;77;59;269;12;81
451;Mercy;Shawn Mendes;pop;2017;148;66;56;36;209;8;81
452;Side To Side;Ariana Grande;pop;2017;159;74;65;61;226;23;80
453;Stay;Zedd;no pop;2017;102;62;69;54;210;6;80
454;It Ain't Me (with Selena Gomez);Kygo;no pop;2017;100;53;64;52;221;7;79
455;Malibu;Miley Cyrus;pop;2017;140;78;57;34;232;6;78
456;Something Just Like This;The Chainsmokers;pop;2017;103;65;61;51;248;4;78
457;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;pop;2017;102;76;72;74;251;5;78
458;I Don't Wanna Live Forever (Fifty Shades Darker);ZAYN;pop;2017;118;45;74;9;245;6;78
459;My Way;Calvin Harris;pop;2017;120;91;82;54;219;4;78
460;I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);DJ Khaled;pop;2017;81;67;61;81;289;4;77
461;Praying;Kesha;pop;2017;73;39;58;32;230;3;77
462;Despacito - Remix;Luis Fonsi;no pop;2017;178;82;65;82;229;17;76
463;The Greatest;Sia;no pop;2017;192;73;67;73;210;27;76
464;There for You;Martin Garrix;no pop;2017;106;64;61;13;222;6;76
465;Paris;The Chainsmokers;pop;2017;100;64;65;25;222;3;76
466;Crying in the Club;Camila Cabello;pop;2017;85;62;33;60;216;38;75
467;Mama;Jonas Blue;pop;2017;104;79;74;57;184;4;75
468;Slide (feat. Frank Ocean & Migos);Calvin Harris;pop;2017;104;80;74;51;231;5;75
469;Swish Swish;Katy Perry;pop;2017;120;71;84;57;243;4;73
470;Chained To The Rhythm;Katy Perry;pop;2017;190;80;45;47;238;17;72
471;Cold (feat. Future);Maroon 5;pop;2017;100;72;69;41;234;11;72
472;Love;Lana Del Rey;pop;2017;99;37;53;23;273;3;72
473;Reggaeton Lento (Remix);CNCO;no pop;2017;94;91;53;62;189;9;71
474;All I Ask;Adele;no pop;2017;142;28;59;34;272;3;71
475;First Time;Kygo;no pop;2017;90;59;63;68;194;11;71
476;The Cure;Lady Gaga;pop;2017;100;51;70;52;211;3;71
477;"How Far I'll Go - From ""Moana""";Alessia Cara;no pop;2017;181;54;31;16;176;35;71
478;Bodak Yellow;Cardi B;pop;2017;125;72;93;46;224;11;70
479;Rich Love (with Seeb);OneRepublic;pop;2017;105;87;40;47;201;31;70
480;Tired;Alan Walker;no pop;2017;124;88;69;49;192;6;70
481;Came Here for Love;Sigala;pop;2017;125;87;71;72;203;4;70
482;24K Magic;Bruno Mars;pop;2017;107;80;82;63;226;8;69
483;Strip That Down (feat. Quavo);Liam Payne;pop;2017;106;50;87;55;202;5;69
484;Cut To The Feeling;Carly Rae Jepsen;pop;2017;115;91;71;65;208;6;69
485;OK - Spotify Version;Robin Schulz;pop;2017;122;81;65;58;189;6;69
486;Bon appetit;Katy Perry;pop;2017;106;79;80;52;228;6;68
487;Summer Bummer (feat. A$AP Rocky & Playboi Carti);Lana Del Rey;pop;2017;135;57;76;14;261;13;67
488;Get Low (with Liam Payne);Zedd;no pop;2017;108;93;72;54;205;5;66
489;Kissing Strangers;DNCE;pop;2017;120;74;77;86;202;4;66
490;Slow Hands;Niall Horan;pop;2017;86;42;74;85;188;5;64
491;Younger Now;Miley Cyrus;pop;2017;122;87;55;33;249;6;62
492;Body Moves;DNCE;pop;2017;102;69;65;86;236;4;62
493;Reality (feat. Janieck Devy) - Radio Edit;Lost Frequencies;no pop;2017;122;64;73;53;158;4;59
494;Angel;Fifth Harmony;pop;2017;124;53;74;13;189;4;59
495;Touch (feat. Kid Ink);Little Mix;pop;2017;102;75;64;53;203;11;59
496;We Don't Talk Anymore - DROELOE Remix;Charlie Puth;pop;2017;100;82;70;67;218;22;59
497;Love Incredible (feat. Camila Cabello);Cashmere Cat;no pop;2017;167;50;37;21;180;12;59
498;No Vacancy (with Sebastian Yatra);OneRepublic;pop;2017;100;76;69;59;223;4;57
499;Rich Boy;Galantis;no pop;2017;110;90;74;65;184;5;55
500;Lust for Life (with The Weeknd);Lana Del Rey;pop;2017;100;67;51;27;264;6;54
501;Greenlight (feat. Flo Rida & LunchMoney Lewis);Pitbull;pop;2017;115;83;70;63;245;27;54
502;Influence;Tove Lo;pop;2017;105;59;77;33;225;5;54
503;Remember I Told You;Nick Jonas;pop;2017;113;53;68;84;202;28;53
504;Messin' Around;Pitbull;pop;2017;158;81;57;78;223;5;51
505;Water Under the Bridge;Adele;no pop;2017;95;84;60;47;240;7;49
506;Free Me;Sia;no pop;2017;87;46;27;21;286;3;44
507;Kissing Strangers - Remix;DNCE;pop;2017;120;77;76;81;202;5;43
508;A L I E N S;Coldplay;no pop;2017;148;88;43;25;282;4;41
509;One Kiss (with Dua Lipa);Calvin Harris;pop;2018;124;86;79;59;215;11;86
510;Havana (feat. Young Thug);Camila Cabello;pop;2018;105;52;77;39;217;3;85
511;I Like It;Cardi B;pop;2018;136;73;82;65;253;13;85
512;New Rules;Dua Lipa;pop;2018;116;70;76;61;209;7;84
513;There's Nothing Holdin' Me Back;Shawn Mendes;pop;2018;122;81;87;97;199;6;84
514;no tears left to cry;Ariana Grande;pop;2018;122;71;70;35;206;6;84
515;IDGAF;Dua Lipa;pop;2018;97;54;84;51;218;9;84
516;In My Blood;Shawn Mendes;pop;2018;140;71;62;49;211;7;83
517;Wolves;Selena Gomez;pop;2018;125;80;72;31;198;4;83
518;Dusk Till Dawn - Radio Edit;ZAYN;pop;2018;180;44;26;10;239;4;83
519;Attention;Charlie Puth;pop;2018;100;61;78;80;209;5;83
520;Electricity (with Dua Lipa);Silk City;no pop;2018;118;67;59;51;238;5;82
521;Love On The Brain;Rihanna;pop;2018;172;64;51;38;224;5;82
522;Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;pop;2018;103;71;66;74;175;5;82
523;Silence;Marshmello;no pop;2018;142;76;52;29;181;9;82
524;Sorry Not Sorry;Demi Lovato;pop;2018;144;64;71;89;204;23;81
525;Shallow - Radio Edit;Lady Gaga;pop;2018;96;33;57;28;217;3;80
526;These Days;Rudimental;pop;2018;92;81;65;55;211;5;80
527;What Lovers Do (feat. SZA);Maroon 5;pop;2018;110;60;80;42;200;6;79
528;"Finesse - Remix; feat. Cardi B";Bruno Mars;pop;2018;105;86;70;93;217;10;78
529;Perfect Duet (Ed Sheeran & Beyonce);Ed Sheeran;pop;2018;95;30;59;36;260;3;78
530;Bad At Love;Halsey;pop;2018;118;75;68;61;181;3;78
531;Him & I (with Halsey);G-Eazy;no pop;2018;88;73;59;19;269;9;78
532;Friends (with BloodPop);Justin Bieber;pop;2018;105;73;74;62;189;4;77
533;Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;pop;2018;98;67;67;63;204;7;76
534;My My My!;Troye Sivan;pop;2018;103;46;70;48;205;8;76
535;Capital Letters;Hailee Steinfeld;pop;2018;100;81;66;46;219;8;76
536;Sick Boy;The Chainsmokers;pop;2018;90;58;66;45;193;5;76
537;Tequila;Dan + Shay;no pop;2018;86;59;47;50;196;3;76
538;Look What You Made Me Do;Taylor Swift;pop;2018;128;71;77;51;212;12;75
539;Youth (feat. Khalid);Shawn Mendes;pop;2018;100;60;53;32;191;12;75
540;Bad Liar;Selena Gomez;pop;2018;121;41;97;73;215;7;75
541;Anywhere;Rita Ora;pop;2018;107;80;63;32;215;6;74
542;Say Something;Justin Timberlake;pop;2018;97;63;71;37;279;8;74
543;Chun-Li;Nicki Minaj;pop;2018;129;73;69;48;192;37;73
544;Sign of the Times;Harry Styles;pop;2018;120;57;52;21;341;3;72
545;Familiar;Liam Payne;pop;2018;93;81;64;91;197;33;72
546;Let Me;ZAYN;pop;2018;168;57;46;19;185;5;72
547;Supernova;Ansel Elgort;pop;2018;140;62;77;68;191;10;72
548;Nervous;Shawn Mendes;pop;2018;122;62;84;74;164;8;71
549;First Time;Kygo;no pop;2018;90;59;63;68;194;11;71
550;End Game;Taylor Swift;pop;2018;159;59;65;15;245;6;70
551;Mi Gente (feat. Beyonce);J Balvin;no pop;2018;105;72;76;47;210;8;68
552;Lemon;N.E.R.D;no pop;2018;95;73;92;20;220;9;68
553;For You (With Rita Ora);Liam Payne;pop;2018;113;80;54;18;243;3;67
554;Want To;Dua Lipa;pop;2018;92;69;57;32;212;12;67
555;What I Need (feat. Kehlani);Hayley Kiyoko;pop;2018;104;79;63;41;220;6;67
556;Wait;Maroon 5;pop;2018;126;60;66;45;191;6;67
557;What About Us;P!nk;pop;2018;114;59;39;19;272;6;66
558;Kissing Strangers;DNCE;pop;2018;120;74;77;86;202;4;66
559;2U (feat. Justin Bieber);David Guetta;pop;2018;145;61;53;53;195;6;65
560;Walk On Water (feat. Beyonce);Eminem;no pop;2018;82;44;48;62;304;24;65
561;This Town;Niall Horan;pop;2018;112;41;68;20;233;3;64
562;Girls (feat. Cardi B, Bebe Rexha & Charli XCX);Rita Ora;pop;2018;94;69;73;42;221;5;64
563;MOVE TO MIAMI;Enrique Iglesias;pop;2018;100;87;76;90;169;5;64
564;Miss You (with Major Lazer & Tory Lanez);Cashmere Cat;no pop;2018;100;64;75;45;186;9;64
565;Filthy;Justin Timberlake;pop;2018;97;58;75;65;294;14;62
566;Never Be the Same - Radio Edit;Camila Cabello;pop;2018;130;69;63;25;227;9;57
567;Ferrari;Bebe Rexha;pop;2018;77;48;58;42;213;3;57
568;Supplies;Justin Timberlake;pop;2018;120;55;79;23;226;5;57
569;Boom Boom;RedOne;pop;2018;110;76;75;58;248;5;53
570;...Ready For It? - BloodPop Remix;Taylor Swift;pop;2018;160;84;58;50;190;22;52
571;Drip (feat. Migos);Cardi B;pop;2018;130;59;97;27;264;26;45
572;Tell Me You Love Me - NOTD Remix;Demi Lovato;pop;2018;102;77;58;76;182;8;44
573;Memories;Maroon 5;pop;2019;91;32;76;57;189;5;99
574;Lose You To Love Me;Selena Gomez;pop;2019;102;34;51;9;206;4;97
575;Someone You Loved;Lewis Capaldi;pop;2019;110;41;50;45;182;3;96
576;Señorita;Shawn Mendes;pop;2019;117;54;76;75;191;3;95
577;How Do You Sleep?;Sam Smith;pop;2019;111;68;48;35;202;9;93
578;South of the Border (feat. Camila Cabello & Cardi B);Ed Sheeran;pop;2019;98;62;86;67;204;8;92
579;Trampoline (with ZAYN);SHAED;pop;2019;127;46;62;50;184;3;92
580;Happier;Marshmello;no pop;2019;100;79;69;67;214;5;90
581;Truth Hurts;Lizzo;no pop;2019;158;62;72;41;173;11;90
582;Good as Hell (feat. Ariana Grande) - Remix;Lizzo;no pop;2019;96;89;67;48;159;6;90
583;Higher Love;Kygo;no pop;2019;104;68;69;40;228;3;88
584;Only Human;Jonas Brothers;no pop;2019;94;50;80;87;183;7;87
585;Beautiful People (feat. Khalid);Ed Sheeran;pop;2019;93;65;64;55;198;19;86
586;Sucker;Jonas Brothers;no pop;2019;138;73;84;95;181;6;86
587;Don't Call Me Up;Mabel;pop;2019;99;88;67;23;178;15;86
588;I Don't Care (with Justin Bieber);Ed Sheeran;pop;2019;102;68;80;84;220;4;85
589;Talk (feat. Disclosure);Khalid;no pop;2019;136;40;90;35;198;13;84
590;Giant (with Rag'n'Bone Man);Calvin Harris;pop;2019;122;89;81;61;229;4;84
591;Takeaway;The Chainsmokers;pop;2019;100;51;53;35;210;3;83
592;All Around The World (La La La);R3HAB;no pop;2019;125;86;73;52;148;3;82
593;Girls Like You (feat. Cardi B);Maroon 5;pop;2019;125;54;85;45;236;5;81
594;Call You Mine;The Chainsmokers;pop;2019;104;70;59;52;218;3;81
595;No Guidance (feat. Drake);Chris Brown;pop;2019;93;45;70;14;261;15;81
596;Antisocial (with Travis Scott);Ed Sheeran;pop;2019;152;82;72;91;162;5;78
597;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake;no pop;2019;96;80;84;62;213;23;77
598;Con Calma - Remix;Daddy Yankee;no pop;2019;94;87;74;61;181;5;76
599;Find U Again (feat. Camila Cabello);Mark Ronson;pop;2019;104;66;61;16;176;3;75
600;Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;pop;2019;95;79;75;61;206;12;75
601;No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo);DJ Khaled;pop;2019;136;76;53;65;260;34;70
602;Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;pop;2019;114;79;60;24;217;7;69
603;Kills You Slowly;The Chainsmokers;pop;2019;150;44;70;23;213;6;67
